ticker,c_name,last_sale,market_cap,ipo_year,sector,industry
KFRC,Kforce Inc. Common Stock,$60.17,1328976535.0,1995.0,Technology,Diversified Commercial Services
KFY,Korn Ferry Common Stock,$67.32,3635735689.0,1999.0,Technology,Diversified Commercial Services
KLR,Kaleyra Inc. Common Stock,$12.28,371945076.0,2018.0,Technology,Internet and Information Services
KNBE,KnowBe4 Inc. Class A Common Stock,$19.29,3203575215.0,2021.0,Technology,Computer Software: Prepackaged Software
KTCC,Key Tronic Corporation Common Stock,$7.05,75855744.0,1983.0,Technology,Computer peripheral equipment
KVHI,KVH Industries Inc. Common Stock,$14.00,258796020.0,1996.0,Technology,Radio And Television Broadcasting And Communications Equipment
LASR,nLIGHT Inc. Common Stock,$27.02,1156046323.0,2018.0,Technology,Semiconductors
LAZR,Luminar Technologies Inc.  Class A Common Stock,$20.84,7079224940.0,2019.0,Technology,EDP Services
LDL,Lydall Inc. Common Stock,$39.21,706524794.0,,Technology,Industrial Machinery/Components
LDOS,Leidos Holdings Inc. Common Stock,$104.03,14711939141.0,,Technology,EDP Services
LEAF,Leaf Group Ltd. Common Stock,$8.50,305998181.0,,Technology,EDP Services
LFUS,Littelfuse Inc. Common Stock,$264.32,6490438129.0,,Technology,Electronic Components
LITE,Lumentum Holdings Inc. Common Stock,$82.93,6277801000.0,,Technology,Computer peripheral equipment
LOGI,Logitech International S.A. Ordinary Shares,$114.56,19281249920.0,1997.0,Technology,Computer peripheral equipment
LPSN,LivePerson Inc. Common Stock,$51.74,3563130100.0,2000.0,Technology,EDP Services
LRCX,Lam Research Corporation Common Stock,$630.54,89927202427.0,1984.0,Technology,Industrial Machinery/Components
LSCC,Lattice Semiconductor Corporation Common Stock,$50.55,6892428049.0,,Technology,Semiconductors
LYFT,Lyft Inc. Class A Common Stock,$50.07,16490460969.0,2019.0,Technology,EDP Services
MAN,ManpowerGroup Common Stock,$122.72,6742995578.0,,Technology,Professional Services
MANH,Manhattan Associates Inc. Common Stock,$132.86,8452202582.0,1998.0,Technology,Computer Software: Prepackaged Software
MANT,ManTech International Corporation Common Stock $0.01 Par Value,$83.61,3394192096.0,2002.0,Technology,EDP Services
MCFE,McAfee Corp. Class A Common Stock,$22.91,9838861268.0,2020.0,Technology,Computer Software: Prepackaged Software
